,q_values,state,action
87,[[5.616206  5.8883605 3.4527397]],"[ 0.21902999 -0.2138004  -0.51550895 -0.85467835 -0.02897181  0.
  1.          0.        ]",[0. 1. 0.]
88,[[5.649057  5.99236   3.7754638]],"[ 0.19225693 -0.21279222 -0.67255687 -0.9434135  -0.03188347  0.
  1.          0.        ]",[0. 1. 0.]
89,[[5.436004  5.6783366 3.073435 ]],"[ 0.09910494 -0.35696986 -0.69667838 -0.93600386 -0.04245354  0.
  1.          0.        ]",[0. 1. 0.]
90,[[4.8340654 5.0299797 2.016325 ]],"[ 0.14450846 -0.2618912  -0.69667838 -0.89663251 -0.03636377  0.
  1.          0.        ]",[0. 1. 0.]
91,[[5.156287  5.3847694 2.6981592]],"[ 0.23611018  0.01185078 -0.66098642 -0.84681697 -0.02335707  0.
  1.          0.        ]",[0. 1. 0.]
92,[[6.4476686 6.869348  5.1801696]],"[ 0.09300959 -0.10275972 -0.72811336 -0.78297141 -0.03964668  0.
  1.          0.        ]",[0. 1. 0.]
93,[[5.2101226 5.3871    2.9072018]],"[-0.06411046 -0.62536613 -0.27268507 -0.902225   -0.06241955  0.
  1.          0.        ]",[0. 1. 0.]
94,[[3.7403293 4.2464514 0.0682323]],"[ 0.03828057 -0.41083016 -0.27268507 -0.83984822 -0.04791778  0.
  1.          0.        ]",[0. 1. 0.]
95,[[4.2063103 4.566164  1.0479158]],"[ 0.04989798 -0.22204277 -0.88283188 -0.78111597 -0.04624748  0.
  1.          0.        ]",[0. 1. 0.]
96,[[4.830172  5.0228553 2.2527716]],"[ 0.22499569  0.16431187 -0.75341449 -0.8852338  -0.01859297  0.
  1.          0.        ]",[0. 1. 0.]
97,[[6.838682  7.250469  5.7400675]],"[ 0.20968866  0.1466766  -0.75341449 -0.87556356 -0.02046686  0.
  1.          0.        ]",[0. 1. 0.]
98,[[6.6853127 7.067693  5.4801655]],"[ 3.19412226e-01  3.61693780e-01 -2.73634938e-01 -6.59186413e-01
 -8.61472779e-04  0.00000000e+00  1.00000000e+00  0.00000000e+00]",[0. 1. 0.]
99,[[8.602912 8.983259 9.755138]],"[ 0.44587425  0.46295353  0.17299174 -0.79425336  0.          1.
  0.          0.        ]",[0. 0. 1.]
100,[[8.1304035 9.145626  7.104935 ]],"[ 0.46825361  0.47108016  0.19795509 -0.82024358  0.00555742  0.
  1.          0.        ]",[0. 1. 0.]
101,[[ 9.288305  9.112115 10.11928 ]],"[ 0.50972206  0.3780968   0.37273202 -0.90573617  0.          1.
  0.          0.        ]",[0. 0. 1.]
102,[[7.96181   8.791155  6.7098165]],"[ 0.55470047  0.3254034   0.42661589 -0.91544279  0.01215943  0.
  1.          0.        ]",[0. 1. 0.]
103,[[9.200883 9.179579 9.852095]],"[ 0.58222671  0.26413171  0.48484948 -0.89380788  0.          1.
  0.          0.        ]",[0. 0. 1.]
104,[[7.943288  8.899474  6.7743773]],"[ 0.40492724  0.1741537   0.48484948 -0.88057478 -0.01802808  0.
  1.          0.        ]",[0. 1. 0.]
105,[[6.9290414 6.9344654 5.299645 ]],"[ 0.43167515  0.14531269  0.48484948 -0.94315892 -0.01184032  0.
  1.          0.        ]",[0. 1. 0.]
106,[[7.114546 7.222248 5.656801]],"[ 0.41456073  0.11247995  0.30345301 -0.88667834 -0.0136006   0.
  1.          0.        ]",[0. 1. 0.]
107,[[7.049645 7.304212 5.840254]],"[ 0.34826784  0.08760029  0.39647793 -0.8897818  -0.02038044  0.
  1.          0.        ]",[0. 1. 0.]
108,[[6.3950925 6.6085415 4.4668365]],"[ 0.41650089  0.11109796  0.44455359 -0.83426212 -0.00676525  0.
  1.          0.        ]",[0. 1. 0.]
109,[[7.2989    7.51881   6.5266275]],"[ 0.52439481  0.37268621  0.59412926 -0.76142838  0.03278754  0.
  1.          0.        ]",[0. 1. 0.]
110,[[10.223054 10.149128 12.493128]],"[ 0.43719158  0.34751525  0.62123605 -0.85484425  0.          1.
  0.          0.        ]",[0. 0. 1.]
111,[[7.6032877 7.9890575 6.5368266]],"[ 0.55499957  0.36132162  0.77114291 -0.74141348  0.02635073  0.
  1.          0.        ]",[0. 1. 0.]
112,[[10.015446  9.776014 11.886688]],"[ 0.49761523  0.22712581  0.77114291 -0.88550114  0.          1.
  0.          0.        ]",[0. 0. 1.]
113,[[7.48291   7.98909   6.3720503]],"[ 0.30119845  0.10769517 -0.31705532 -0.89996121 -0.02008068  0.
  1.          0.        ]",[0. 1. 0.]
114,[[6.724919 7.112011 5.468928]],"[ 0.29675682  0.09381351 -0.31705532 -0.93667062 -0.02057772  0.
  1.          0.        ]",[0. 1. 0.]
115,[[6.5910416 6.9435725 5.101445 ]],"[ 0.39708859  0.13979015 -0.15834616 -0.83894156 -0.00122695  0.
  1.          0.        ]",[0. 1. 0.]
116,[[8.047162 8.670045 8.442466]],"[ 0.23567487  0.06809199 -0.56682358 -0.93029972 -0.01965509  0.
  1.          0.        ]",[0. 1. 0.]
117,[[6.5177717 6.8371387 5.1204486]],"[ 0.21119099 -0.02493864 -0.91737655 -0.95347934 -0.02271332  0.
  1.          0.        ]",[0. 1. 0.]
118,[[6.302091 6.680468 4.661515]],"[ 0.31434525  0.11828563 -0.30002947 -0.86539819 -0.00383173  0.
  1.          0.        ]",[0. 1. 0.]
119,[[7.5333548 8.117889  7.489857 ]],"[ 0.32790873  0.22794745 -0.05133373 -0.84224345 -0.00122695  0.
  1.          0.        ]",[0. 1. 0.]
120,[[7.798913  8.166216  7.8721094]],"[ 0.3534512   0.13579925 -0.63665357 -0.89599957  0.00353614  0.
  1.          0.        ]",[0. 1. 0.]
121,[[8.227595 9.009427 8.743253]],"[ 0.0784824  -0.19577778 -0.62382266 -0.64410553 -0.03088659  0.
  1.          0.        ]",[0. 1. 0.]
122,[[5.3954678 5.7449913 4.005847 ]],"[-0.01173243 -0.49481724 -0.62382266 -0.96773586 -0.0459623   0.
  1.          0.        ]",[0. 1. 0.]
123,[[4.4748926 4.7931843 1.4942573]],"[ 0.11865891 -0.2586053  -0.86931761 -0.93385173 -0.02354624  0.
  1.          0.        ]",[0. 1. 0.]
124,[[5.6692247 6.000756  3.9148543]],"[ 0.15136776 -0.18681079 -0.98663798 -0.9196322  -0.01757925  0.
  1.          0.        ]",[0. 1. 0.]
125,[[6.063611 6.491806 4.705761]],"[ 0.23149443  0.059598   -0.56875299 -0.90048887 -0.00252759  0.
  1.          0.        ]",[0. 1. 0.]
