,q_values,state,action
1176,[[ 1.470014   1.9093348 -7.304755 ]],"[-0.06713405 -0.10344557 -0.71146242 -0.8551269  -0.23450529  0.
  1.          0.        ]",[0. 1. 0.]
1177,[[ 1.5871451  1.809237  -6.9719887]],"[ 0.06241081  0.02032557 -0.86919726 -0.88949181 -0.21423682  0.
  1.          0.        ]",[0. 1. 0.]
1178,[[ 1.9055433  2.0330822 -6.5157967]],"[ 0.01878485  0.07801585 -0.71791407 -0.88466658 -0.2213292   0.
  1.          0.        ]",[0. 1. 0.]
1179,[[ 1.8192611  1.9714341 -6.7717385]],"[-0.08802682 -0.0389904  -0.76161549 -0.90334477 -0.24051992  0.
  1.          0.        ]",[0. 1. 0.]
1180,[[ 1.6176947  1.818688  -7.1366086]],"[-0.12962878 -0.17947203 -0.39404954 -0.89974108 -0.24882701  0.
  1.          0.        ]",[0. 1. 0.]
1181,[[ 1.4927685  1.8030033 -7.255439 ]],"[-0.10776992 -0.09065212 -0.7469093  -0.88611271 -0.24571565  0.
  1.          0.        ]",[0. 1. 0.]
1182,[[ 1.5632037  1.7793667 -7.1661305]],"[-0.11866058 -0.07964284 -0.7469093  -0.93423774 -0.24769794  0.
  1.          0.        ]",[0. 1. 0.]
1183,[[ 1.5827622  1.7958434 -7.265473 ]],"[-0.06554725 -0.03209902 -0.8777973  -0.94063544 -0.2407652   0.
  1.          0.        ]",[0. 1. 0.]
1184,[[ 1.6722293  1.8652296 -7.1460614]],"[-0.08523919 -0.03992965 -0.8777973  -0.95197737 -0.24389664  0.
  1.          0.        ]",[0. 1. 0.]
1185,[[ 1.6539105  1.8506589 -7.206604 ]],"[-0.15748679 -0.18353736 -0.63592407 -0.92928426 -0.25587315  0.
  1.          0.        ]",[0. 1. 0.]
1186,[[ 1.4976822  1.7542084 -7.309494 ]],"[ 0.01656422  0.01033525 -0.84522699 -0.90206325 -0.2331374   0.
  1.          0.        ]",[0. 1. 0.]
1187,[[ 1.7393004  1.9180976 -7.0117702]],"[ 0.08520576  0.19332577 -0.46228178 -0.84753637 -0.22306105  0.
  1.          0.        ]",[0. 1. 0.]
1188,[[ 1.8711926  1.9921886 -6.919582 ]],"[-0.1069567  -0.1750777  -0.65829298 -0.87120218 -0.25495951  0.
  1.          0.        ]",[0. 1. 0.]
1189,[[ 1.498624   1.7471545 -7.2469435]],"[-0.14044768 -0.32384286 -0.65829298 -0.9331403  -0.26168287  0.
  1.          0.        ]",[0. 1. 0.]
1190,[[ 1.4580251  1.7621965 -7.296353 ]],"[-0.15051776 -0.36418858 -0.50208881 -0.9226524  -0.26367001  0.
  1.          0.        ]",[0. 1. 0.]
1191,[[ 1.438598   1.8168726 -7.266826 ]],"[-0.32602149 -0.58934068  0.01018407 -0.8323266  -0.30612798  0.
  1.          0.        ]",[0. 1. 0.]
1192,[[ 1.3768009  1.9157227 -7.029513 ]],"[-0.22700374 -0.47385108  0.01018407 -0.75375268 -0.29141197  0.
  1.          0.        ]",[0. 1. 0.]
1193,[[ 1.3528804  1.8705324 -7.012285 ]],"[-0.23297306 -0.38196167  0.08486896 -0.87432351 -0.29291228  0.
  1.          0.        ]",[0. 1. 0.]
1194,[[ 1.3875045  1.9340961 -7.362501 ]],"[-0.2194979  -0.26771267  0.00484702 -0.92182358 -0.29104953  0.
  1.          0.        ]",[0. 1. 0.]
1195,[[ 1.4057847  1.8600023 -7.5859   ]],"[-0.32598156 -0.31581819  0.29129124 -0.88679159 -0.31830557  0.
  1.          0.        ]",[0. 1. 0.]
1196,[[ 1.3691441  1.9657419 -7.605556 ]],"[-0.34690936 -0.35359313  0.44995884 -0.84442015 -0.3244037   0.
  1.          0.        ]",[0. 1. 0.]
1197,[[ 1.3544511  1.9778414 -7.5316496]],"[-0.35425623 -0.28824912  0.44995884 -0.89379863 -0.32649151  0.
  1.          0.        ]",[0. 1. 0.]
1198,[[ 1.3648502  1.9958507 -7.7110133]],"[-0.36642455 -0.27087203  0.5064631  -0.88925669 -0.32981489  0.
  1.          0.        ]",[0. 1. 0.]
1199,[[ 1.3615886  1.9972514 -7.7645464]],"[-0.39665717 -0.28359648  0.53953705 -0.93256064 -0.33809276  0.
  1.          0.        ]",[0. 1. 0.]
1200,[[ 1.3707169  2.0255165 -7.866651 ]],"[-0.44597118 -0.27688903  0.23574745 -0.87093452 -0.35267746  0.
  1.          0.        ]",[0. 1. 0.]
1201,[[ 1.3374877  1.908827  -7.7734814]],"[-0.46297475 -0.29751506  0.2760834  -0.90152506 -0.35800181  0.
  1.          0.        ]",[0. 1. 0.]
1202,[[ 1.3476073  1.9341925 -7.8383307]],"[-0.29407546 -0.21356524 -0.23091276 -0.9085238  -0.3384821   0.
  1.          0.        ]",[0. 1. 0.]
1203,[[ 1.3764348  1.7793565 -7.947509 ]],"[-0.2494269  -0.14682626 -0.99404052 -0.54370496 -0.3330262   0.
  1.          0.        ]",[0. 1. 0.]
1204,[[ 1.3301935  1.64545   -7.1155543]],"[-0.40048413 -0.33794566 -0.69167131 -0.7667682  -0.37349084  0.
  1.          0.        ]",[0. 1. 0.]
1205,[[ 1.3422228  1.7204142 -7.6209154]],"[-0.45189674 -0.38644781 -0.5084707  -0.85126863 -0.39177523  0.
  1.          0.        ]",[0. 1. 0.]
1206,[[ 1.365098   1.7885681 -7.8406863]],"[-0.3683047  -0.38760738 -0.29303917 -0.76576774 -0.3803323   0.
  1.          0.        ]",[0. 1. 0.]
1207,[[ 1.338672   1.7826647 -7.6983776]],"[-0.40405647 -0.31381212 -0.51265973 -0.81287764 -0.39205601  0.
  1.          0.        ]",[0. 1. 0.]
1208,[[ 1.3455964  1.7548488 -7.921257 ]],"[-0.52164807 -0.4655335   0.06890556 -0.62520242 -0.44143361  0.
  1.          0.        ]",[0. 1. 0.]
1209,[[ 1.3688872  1.8395764 -7.6876454]],"[-0.53218622 -0.47136643  0.29175537 -0.45735292 -0.44687412  0.
  1.          0.        ]",[0. 1. 0.]
1210,[[ 1.3654891  1.8225261 -7.373351 ]],"[-0.32333173 -0.23995692 -0.42852867 -0.60045289 -0.41352921  0.
  1.          0.        ]",[0. 1. 0.]
1211,[[ 1.2906584  1.6587874 -7.883056 ]],"[-0.23856959 -0.16809427 -0.63580071 -0.79917558 -0.39868712  0.
  1.          0.        ]",[0. 1. 0.]
1212,[[ 1.3512405  1.6433306 -8.343837 ]],"[-0.04802091  0.01562717 -0.97999765 -0.76117157 -0.3615926   0.
  1.          0.        ]",[0. 1. 0.]
1213,[[ 1.4557439  1.6363536 -8.232407 ]],"[ 0.24623983  0.31583771 -0.22659303 -0.29458323 -0.2845124   0.
  1.          0.        ]",[0. 1. 0.]
1214,[[ 1.7547483  1.7749797 -7.438234 ]],"[ 0.27196533  0.37159046 -0.16965845 -0.63314643 -0.27633888  0.
  1.          0.        ]",[0. 1. 0.]
1215,[[ 1.9480921  1.8445555 -7.924649 ]],"[ 0.21093698  0.25959144 -0.32504829 -0.82920495 -0.28885504  0.
  1.          0.        ]",[1. 0. 0.]
1216,[[ 1.7827836  1.8211795 -8.22507  ]],"[ 0.25162777  0.22988553 -0.32504829 -0.83800554 -0.277024    0.
  1.          0.        ]",[0. 1. 0.]
1217,[[ 1.8490517  1.9040059 -8.054384 ]],"[ 0.26194422  0.20299571 -0.17207564 -0.77140425 -0.27409998  0.
  1.          0.        ]",[0. 1. 0.]
1218,[[ 1.8320516  1.8510618 -7.977904 ]],"[ 0.09199016  0.10719284 -0.65763787 -0.76005977 -0.30910157  0.
  1.          0.        ]",[0. 1. 0.]
1219,[[ 1.5417709  1.7152053 -8.054313 ]],"[ 0.17109608  0.09213296 -0.65763787 -0.70293731 -0.28798905  0.
  1.          0.        ]",[0. 1. 0.]
1220,[[ 1.6105568  1.7918713 -7.786067 ]],"[ 0.14684529  0.07984337 -0.55610871 -0.84748979 -0.29313033  0.
  1.          0.        ]",[0. 1. 0.]
1221,[[ 1.6046633  1.7615833 -8.112939 ]],"[ 0.17486621  0.06311291 -0.55610871 -0.90471913 -0.28604458  0.
  1.          0.        ]",[0. 1. 0.]
1222,[[ 1.6505804  1.80225   -8.142785 ]],"[ 0.13441322  0.05226747 -0.48764011 -0.89344196 -0.29390633  0.
  1.          0.        ]",[0. 1. 0.]
1223,[[ 1.591029   1.7467079 -8.197906 ]],"[ 0.15680025  0.0257086  -0.64797061 -0.90086309 -0.28878286  0.
  1.          0.        ]",[0. 1. 0.]
1224,[[ 1.629733   1.7958878 -8.095003 ]],"[ 0.15019697 -0.00267341 -0.72462113 -0.92152306 -0.28993928  0.
  1.          0.        ]",[0. 1. 0.]
1225,[[ 1.6358098  1.8151553 -8.0918255]],"[ 0.23797809  0.10845814 -0.3071278  -0.8633794  -0.27072124  0.
  1.          0.        ]",[0. 1. 0.]
1226,[[ 1.7767956  1.9040279 -7.9294505]],"[ 0.17178403  0.140882   -0.22882713 -0.80701399 -0.28138751  0.
  1.          0.        ]",[0. 1. 0.]
1227,[[ 1.6637582  1.7650185 -8.022402 ]],"[-0.02372782 -0.53200126 -0.76326405 -0.73456659 -0.31991948  0.
  1.          0.        ]",[0. 1. 0.]
1228,[[ 1.3897092  1.7909944 -7.3109617]],"[-0.00393403 -0.46680705 -0.76326405 -0.8405874  -0.31591715  0.
  1.          0.        ]",[0. 1. 0.]
1229,[[ 1.4323686  1.788817  -7.5973654]],"[ 0.40144619  0.50498388 -0.00387153 -0.5773224  -0.20337354  0.
  1.          0.        ]",[0. 1. 0.]
1230,[[ 3.1124015  2.442838  -5.2501   ]],"[ 0.56129799  0.87381416  0.65851393 -0.4437539  -0.12981915  0.
  1.          0.        ]",[1. 0. 0.]
1231,[[6.710894  4.885625  2.0063186]],"[ 0.57941163  0.38398332  0.65851393 -0.74177685 -0.12008058  0.
  1.          0.        ]",[1. 0. 0.]
1232,[[ 5.0841722  4.0567336 -1.0140969]],"[ 0.48722162  0.23553836  0.42652153 -0.81400986 -0.13638739  0.
  1.          0.        ]",[1. 0. 0.]
1233,[[ 3.961287   3.3793445 -2.969924 ]],"[ 0.53191454  0.20332413  0.43771938 -0.83600462 -0.11551737  0.
  1.          0.        ]",[1. 0. 0.]
1234,[[ 4.5712876  4.0117607 -1.5755639]],"[ 0.37996862  0.13092103  0.22027216 -0.86204525 -0.14426453  0.
  1.          0.        ]",[1. 0. 0.]
1235,[[ 3.1822543  2.9796724 -4.1087627]],"[ 0.25733153  0.05218892 -0.13925458 -0.82343605 -0.1718398   0.
  1.          0.        ]",[1. 0. 0.]
1236,[[ 2.4202113  2.5091286 -5.368146 ]],"[ 0.21694944  0.01575511 -0.27773056 -0.84861882 -0.1817136   0.
  1.          0.        ]",[0. 1. 0.]
1237,[[ 2.2212875  2.3158777 -5.7841134]],"[ 0.1891936  -0.03263432 -0.51055426 -0.90899372 -0.18847105  0.
  1.          0.        ]",[0. 1. 0.]
1238,[[ 2.1504238  2.2426367 -6.0016503]],"[ 0.09550268 -0.06526559 -0.58146616 -0.89998737 -0.21261517  0.
  1.          0.        ]",[0. 1. 0.]
1239,[[ 1.8329341  2.0250685 -6.657804 ]],"[ 0.23114855 -0.02762396 -0.46096094 -0.69063991 -0.16818932  0.
  1.          0.        ]",[0. 1. 0.]
1240,[[ 2.422214   2.495364  -4.8093925]],"[ 0.33828535  0.05866894 -0.16974769 -0.6691508  -0.12802751  0.
  1.          0.        ]",[0. 1. 0.]
1241,[[ 3.5236843  3.5109477 -2.4488084]],"[ 0.30353352  0.05457897 -0.16974769 -0.86530535 -0.13573273  0.
  1.          0.        ]",[1. 0. 0.]
1242,[[ 3.1202607  3.0943327 -3.6963272]],"[ 0.34747779  0.09290729 -0.07307554 -0.83725998 -0.11944457  0.
  1.          0.        ]",[1. 0. 0.]
1243,[[ 3.725016   3.6407483 -2.3861804]],"[ 0.37444534  0.12760991 -0.00123604 -0.88804823 -0.10947286  0.
  1.          0.        ]",[1. 0. 0.]
1244,[[ 4.1127462  3.9925468 -1.6940088]],"[ 0.4399654   0.26619117  0.16487065 -0.81400667 -0.08455318  0.
  1.          0.        ]",[1. 0. 0.]
1245,[[5.3511453 4.9486446 0.8732715]],"[ 0.43131417  0.25313312  0.16487065 -0.91334393 -0.08603832  0.
  1.          0.        ]",[1. 0. 0.]
1246,[[5.1571045  4.79945    0.26048708]],"[ 0.49384839  0.28159066  0.33613401 -0.78503549 -0.0622634   0.
  1.          0.        ]",[1. 0. 0.]
1247,[[6.2700515 5.846821  2.9856622]],"[ 0.4976781   0.25477689  0.33613401 -0.92636456 -0.06079364  0.
  1.          0.        ]",[1. 0. 0.]
1248,[[6.131596  5.7831483 2.4441361]],"[ 0.48776272  0.20893896  0.40178657 -0.8609577  -0.06219801  0.
  1.          0.        ]",[1. 0. 0.]
1249,[[5.9468336 5.6395507 2.2692814]],"[ 0.53065498  0.21691932  0.49456084 -0.81116544 -0.04715828  0.
  1.          0.        ]",[1. 0. 0.]
1250,[[6.650123  6.3513303 3.9692714]],"[ 0.50349343  0.17930788  0.49456084 -0.87183513 -0.0506341   0.
  1.          0.        ]",[1. 0. 0.]
1251,[[6.2509556 6.0150323 3.0584524]],"[ 0.46072502  0.1288741   0.3217668  -0.93193535 -0.05600447  0.
  1.          0.        ]",[1. 0. 0.]
1252,[[5.7745495 5.7179675 2.1419697]],"[ 0.28953534  0.15796125  0.42688865 -0.84155308 -0.0486223   0.
  1.          0.        ]",[1. 0. 0.]
1253,[[5.421603  5.308501  1.9979897]],"[ 0.23102346  0.08247779  0.06689234 -0.84403126 -0.05616611  0.
  1.          0.        ]",[1. 0. 0.]
1254,[[4.8921003 5.0587826 1.2438973]],"[ 0.23447279  0.01293582 -0.22611699 -0.89787862 -0.05553602  0.
  1.          0.        ]",[0. 1. 0.]
1255,[[4.9258084 5.0322556 1.3414793]],"[ 0.16020976 -0.05914035 -0.37925551 -0.90967037 -0.06488639  0.
  1.          0.        ]",[0. 1. 0.]
1256,[[4.3739486  4.394966   0.30613822]],"[ 0.13937673 -0.17089985 -0.74504123 -0.8944689  -0.06755544  0.
  1.          0.        ]",[0. 1. 0.]
1257,[[4.318147   4.34935    0.32761914]],"[ 0.12886664 -0.27782103 -0.89978653 -0.88919671 -0.06884526  0.
  1.          0.        ]",[0. 1. 0.]
1258,[[4.311476  4.423248  0.5094149]],"[ 0.11733966 -0.26614142 -0.89978653 -0.90780345 -0.07018805  0.
  1.          0.        ]",[0. 1. 0.]
1259,[[4.277313   4.361389   0.36208075]],"[-0.05202425 -0.42507645 -0.40011864 -0.87998905 -0.09248645  0.
  1.          0.        ]",[0. 1. 0.]
1260,[[ 3.2127469  3.4859402 -1.6410782]],"[-0.13457471 -0.45409823 -0.1617826  -0.851684   -0.10595186  0.
  1.          0.        ]",[0. 1. 0.]
1261,[[ 2.7048728  3.1173441 -2.6446574]],"[ 0.19246301 -0.03063459 -0.75336396 -0.40877838 -0.05514865  0.
  1.          0.        ]",[0. 1. 0.]
1262,[[5.5686026 6.145416  3.95146  ]],"[ 0.10939549 -0.09548585 -0.75336396 -0.83559883 -0.06786933  0.
  1.          0.        ]",[0. 1. 0.]
1263,[[4.372807   4.3805103  0.52755827]],"[ 0.03886416 -0.16191689 -0.90562575 -0.91660339 -0.07964895  0.
  1.          0.        ]",[0. 1. 0.]
1264,[[ 4.0172343   3.9761596  -0.36583418]],"[-0.0608273  -0.32502963 -0.59740376 -0.86286386 -0.09843431  0.
  1.          0.        ]",[1. 0. 0.]
1265,[[ 3.2408879  3.343997  -1.7158561]],"[-0.09595816 -0.37644191 -0.48718    -0.91662285 -0.1056683   0.
  1.          0.        ]",[0. 1. 0.]
1266,[[ 3.0129042  3.196869  -2.3094678]],"[-0.10307906 -0.37620989 -0.19088283 -0.83910394 -0.10710526  0.
  1.          0.        ]",[0. 1. 0.]
1267,[[ 2.7438464  3.066376  -2.696282 ]],"[-0.17820974 -0.35991066 -0.19088283 -0.9056813  -0.12283282  0.
  1.          0.        ]",[0. 1. 0.]
1268,[[ 2.4396503  2.7744334 -3.5893776]],"[-0.25517366 -0.39724228  0.0406782  -0.88846232 -0.14140645  0.
  1.          0.        ]",[0. 1. 0.]
1269,[[ 1.9585555  2.467086  -4.6584167]],"[-0.20833716 -0.34787769  0.09363815 -0.86054073 -0.13466816  0.
  1.          0.        ]",[0. 1. 0.]
1270,[[ 2.0723746  2.5488257 -4.401157 ]],"[-0.16979377 -0.24319549 -0.43118822 -0.8018994  -0.12922744  0.
  1.          0.        ]",[0. 1. 0.]
1271,[[ 2.4425676  2.593896  -3.5425072]],"[-0.0784199  -0.16963475 -0.63803721 -0.92483229 -0.11613084  0.
  1.          0.        ]",[0. 1. 0.]
1272,[[ 3.0057852  2.964048  -2.745544 ]],"[-0.06050366 -0.13934083 -0.76507266 -0.92512324 -0.11355513  0.
  1.          0.        ]",[1. 0. 0.]
1273,[[ 3.144104   3.0459623 -2.4931726]],"[-0.14126029 -0.17511134 -0.66569748 -0.92945845 -0.12832266  0.
  1.          0.        ]",[1. 0. 0.]
1274,[[ 2.7399516  2.71242   -3.349138 ]],"[-0.10855868 -0.15387297 -0.66569748 -0.87632538 -0.12391185  0.
  1.          0.        ]",[1. 0. 0.]
1275,[[ 2.8166084  2.7630363 -3.0811782]],"[-0.15198369 -0.15990014 -0.95336543 -0.83338448 -0.13180201  0.
  1.          0.        ]",[1. 0. 0.]
1276,[[ 2.7398453  2.6555917 -3.1497183]],"[-0.14910934 -0.21125844 -0.99514695 -0.91585592 -0.13144941  0.
  1.          0.        ]",[1. 0. 0.]
1277,[[ 2.8130019  2.7241893 -3.148499 ]],"[-0.04862057 -0.07333863 -0.6408338  -0.91119722 -0.11909963  0.
  1.          0.        ]",[1. 0. 0.]
1278,[[ 2.9987345  2.8926406 -2.9303608]],"[-0.08048479 -0.01321579 -0.59727117 -0.93396562 -0.12394841  0.
  1.          0.        ]",[1. 0. 0.]
1279,[[ 2.9368396  2.8146186 -3.200078 ]],"[-0.1075916  -0.0812728  -0.82701907 -0.93408206 -0.12806443  0.
  1.          0.        ]",[1. 0. 0.]
1280,[[ 2.8915434  2.7644598 -3.1963968]],"[-0.10438766 -0.09094619 -0.92691141 -0.94093915 -0.12771406  0.
  1.          0.        ]",[1. 0. 0.]
1281,[[ 2.9521656  2.805009  -3.0783901]],"[-0.15177316 -0.22937886 -0.85642737 -0.89939877 -0.13451895  0.
  1.          0.        ]",[1. 0. 0.]
1282,[[ 2.663436   2.6280673 -3.4260929]],"[-0.03822927 -0.07178736 -0.84222944 -0.91877212 -0.12250397  0.
  1.          0.        ]",[1. 0. 0.]
1283,[[ 3.033771   2.8868647 -2.9251542]],"[-0.09109013 -0.10612809 -0.58480783 -0.92053153 -0.12954172  0.
  1.          0.        ]",[1. 0. 0.]
1284,[[ 2.7397306  2.697715  -3.5069466]],"[-0.10081741 -0.128323   -0.58480783 -0.88203654 -0.13083753  0.
  1.          0.        ]",[1. 0. 0.]
1285,[[ 2.662315   2.6423602 -3.5421762]],"[-0.02393629 -0.01818505 -0.58480783 -0.93210826 -0.12308866  0.
  1.          0.        ]",[1. 0. 0.]
1286,[[ 2.9791756  2.854865  -3.1862726]],"[ 0.06798937  0.45872402  0.01713801 -0.87048215 -0.1132138   0.
  1.          0.        ]",[1. 0. 0.]
1287,[[ 3.6902108  3.086452  -2.6088395]],"[ 0.11121701  0.48826032  0.03429061 -0.91709054 -0.1083679   0.
  1.          0.        ]",[1. 0. 0.]
1288,[[ 4.0065155  3.339362  -2.1832204]],"[ 0.14149681  0.37059994  0.28920304 -0.75551847 -0.1049955   0.
  1.          0.        ]",[1. 0. 0.]
1289,[[ 3.8827353  3.2540855 -1.9980949]],"[ 0.03087025  0.18407603  0.28920304 -0.9170797  -0.11587816  0.
  1.          0.        ]",[1. 0. 0.]
1290,[[ 2.9784822  2.9333959 -3.67065  ]],"[ 0.02822703  0.12216156  0.28920304 -0.94678686 -0.11614892  0.
  1.          0.        ]",[1. 0. 0.]
1291,[[ 2.9295201  2.966938  -3.7321928]],"[-0.07019293 -0.03349859 -0.59459736 -0.93969082 -0.12662772  0.
  1.          0.        ]",[0. 1. 0.]
1292,[[ 2.883383  2.776797 -3.345323]],"[-0.13298677 -0.24715414 -0.78974954 -0.86994906 -0.13410868  0.
  1.          0.        ]",[1. 0. 0.]
1293,[[ 2.615      2.6079412 -3.45453  ]],"[-0.1103875  -0.22492502 -0.78974954 -0.94166398 -0.13215483  0.
  1.          0.        ]",[1. 0. 0.]
1294,[[ 2.7283607  2.6882727 -3.436328 ]],"[-0.17198944 -0.27794763 -0.5491531  -0.93910317 -0.13946497  0.
  1.          0.        ]",[1. 0. 0.]
1295,[[ 2.4000397  2.541439  -4.0511613]],"[-0.1176219  -0.25982627 -0.5491531  -0.96472843 -0.13502286  0.
  1.          0.        ]",[0. 1. 0.]
1296,[[ 2.5431843  2.6413875 -3.871132 ]],"[-0.05595427 -0.16030052 -0.85439349 -0.9558382  -0.12991165  0.
  1.          0.        ]",[0. 1. 0.]
1297,[[ 2.8678784  2.7715068 -3.308093 ]],"[-0.10823501 -0.22242195 -0.5346698  -0.94630673 -0.13534028  0.
  1.          0.        ]",[1. 0. 0.]
1298,[[ 2.5491614  2.6271715 -3.8798103]],"[-0.16534434 -0.32748867 -0.13691513 -0.94220632 -0.14163301  0.
  1.          0.        ]",[0. 1. 0.]
1299,[[ 2.1717823  2.5306184 -4.5661283]],"[-0.09466104 -0.1780938  -0.64080438 -0.9491773  -0.13616281  0.
  1.          0.        ]",[0. 1. 0.]
1300,[[ 2.6265557  2.6232228 -3.8015056]],"[-0.14135898 -0.25949237 -0.2557383  -0.93810176 -0.14104775  0.
  1.          0.        ]",[1. 0. 0.]
1301,[[ 2.2870867  2.537196  -4.4161463]],"[-0.21666945 -0.27050086 -0.4696412  -0.86145761 -0.14960247  0.
  1.          0.        ]",[0. 1. 0.]
1302,[[ 2.120224  2.336411 -4.52051 ]],"[-0.25229611 -0.37967432 -0.27922803 -0.83211254 -0.15396674  0.
  1.          0.        ]",[0. 1. 0.]
1303,[[ 1.8633547  2.2607987 -4.862947 ]],"[ 0.00557419 -0.12583266 -0.99844483 -0.86575741 -0.13299137  0.
  1.          0.        ]",[0. 1. 0.]
1304,[[ 2.8486757  2.7333403 -3.280599 ]],"[ 0.20405995  0.36294459 -0.36298947 -0.79158186 -0.11108072  0.
  1.          0.        ]",[1. 0. 0.]
1305,[[ 4.154827   3.8608763 -1.3988965]],"[ 0.22959016  0.48236432 -0.25342606 -0.8599617  -0.10785185  0.
  1.          0.        ]",[1. 0. 0.]
1306,[[ 4.5563197  4.013568  -1.0461468]],"[ 0.32417993  0.43733094 -0.07903464 -0.75471166 -0.0951741   0.
  1.          0.        ]",[1. 0. 0.]
1307,[[5.1659217  4.585323   0.45105702]],"[ 0.22020967  0.28476599 -0.02233238 -0.90618663 -0.10421746  0.
  1.          0.        ]",[1. 0. 0.]
1308,[[ 4.038812   3.7216568 -1.7705292]],"[ 0.16667864  0.16636939 -0.20943073 -0.93520279 -0.10918749  0.
  1.          0.        ]",[1. 0. 0.]
1309,[[ 3.5415483  3.4102774 -2.483367 ]],"[ 0.16915183  0.09547486 -0.6703178  -0.92951396 -0.10890227  0.
  1.          0.        ]",[1. 0. 0.]
1310,[[ 3.656772   3.4904702 -2.1548612]],"[ 0.14875068  0.09159842 -0.57420435 -0.92069774 -0.11065143  0.
  1.          0.        ]",[1. 0. 0.]
1311,[[ 3.506337   3.3295712 -2.4130254]],"[ 0.171868    0.04715295 -0.90658178 -0.93522799 -0.10829671  0.
  1.          0.        ]",[1. 0. 0.]
1312,[[ 3.7427025  3.5881019 -1.8801501]],"[ 0.39351049  0.23907205 -0.13195481 -0.81490504 -0.08068042  0.
  1.          0.        ]",[1. 0. 0.]
1313,[[5.309791  5.151093  1.2054284]],"[ 0.31448229  0.22813465 -0.13195481 -0.89713211 -0.08691081  0.
  1.          0.        ]",[1. 0. 0.]
1314,[[4.761718   4.636431   0.00593179]],"[ 0.33219904  0.19967572 -0.41884521 -0.90666102 -0.08450208  0.
  1.          0.        ]",[1. 0. 0.]
1315,[[4.8850102  4.8944597  0.26034325]],"[ 0.41028679  0.29274572 -0.16102067 -0.86126236 -0.07338446  0.
  1.          0.        ]",[0. 1. 0.]
1316,[[5.7128296 5.513893  1.9089301]],"[ 0.39375275  0.24076806 -0.16102067 -0.89221787 -0.07455456  0.
  1.          0.        ]",[1. 0. 0.]
1317,[[5.457414  5.34632   1.4598701]],"[ 0.34522577  0.22312081  0.086637   -0.85042577 -0.0779118   0.
  1.          0.        ]",[1. 0. 0.]
1318,[[5.0389757 4.8269467 0.6210688]],"[ 0.41858549  0.08839391 -0.95025555 -0.79024068 -0.06811728  0.
  1.          0.        ]",[1. 0. 0.]
1319,[[5.926243  6.4674683 2.7799659]],"[ 0.42447384  0.23431482 -0.66777375 -0.83679229 -0.06730774  0.
  1.          0.        ]",[0. 1. 0.]
1320,[[6.011141  6.3388333 2.6826916]],"[ 0.47961348  0.28997896 -0.55002269 -0.86481916 -0.0596208   0.
  1.          0.        ]",[0. 1. 0.]
1321,[[6.571476  6.8236303 3.7352188]],"[ 0.45864938  0.20429472 -0.62891194 -0.86899901 -0.06084261  0.
  1.          0.        ]",[0. 1. 0.]
1322,[[6.268546  6.647611  3.2266495]],"[ 0.45391637  0.17484307 -0.60458302 -0.8564199  -0.06110365  0.
  1.          0.        ]",[0. 1. 0.]
1323,[[6.179141  6.5787125 3.1277976]],"[ 0.02502055 -0.08983588 -0.45739659 -0.69082941 -0.09331731  0.
  1.          0.        ]",[0. 1. 0.]
1324,[[ 3.381895   3.3379462 -1.3260963]],"[-0.0414167  -0.24128186 -0.45271057 -0.8380904  -0.10060684  0.
  1.          0.        ]",[1. 0. 0.]
1325,[[ 3.138738   3.2289941 -2.0422037]],"[-0.03356995 -0.26423738 -0.5677763  -0.78652438 -0.09986998  0.
  1.          0.        ]",[0. 1. 0.]
1326,[[ 3.179501   3.2332454 -1.7970874]],"[-0.03906164 -0.34799808 -0.42905656 -0.89809715 -0.10043131  0.
  1.          0.        ]",[0. 1. 0.]
1327,[[ 3.117797   3.2900321 -2.1102915]],"[-0.16253297 -0.34294474 -0.62499199 -0.91370219 -0.11413052  0.
  1.          0.        ]",[0. 1. 0.]
1328,[[ 2.9037619  3.015803  -2.5640702]],"[-0.19863229 -0.36523763 -0.47120752 -0.92824776 -0.11866413  0.
  1.          0.        ]",[0. 1. 0.]
1329,[[ 2.6950312  2.9067204 -3.008406 ]],"[-0.24774486 -0.37558503 -0.12183029 -0.8554271  -0.12510303  0.
  1.          0.        ]",[0. 1. 0.]
1330,[[ 2.2759538  2.683626  -3.7083871]],"[-0.17338583 -0.26968239 -0.52570392 -0.85231694 -0.1193356   0.
  1.          0.        ]",[0. 1. 0.]
1331,[[ 2.7195044  2.8326051 -2.9288936]],"[-0.23946429 -0.2378522  -0.67677836 -0.91363392 -0.12769571  0.
  1.          0.        ]",[0. 1. 0.]
1332,[[ 2.6740017  2.7082677 -3.217686 ]],"[-0.3005963  -0.29338168 -0.32308659 -0.86366461 -0.13631255  0.
  1.          0.        ]",[0. 1. 0.]
1333,[[ 2.1991594  2.4968026 -4.029717 ]],"[-0.30744379 -0.2477136  -0.49112237 -0.88820933 -0.13730515  0.
  1.          0.        ]",[0. 1. 0.]
1334,[[ 2.3206582  2.502582  -3.891959 ]],"[-0.2655241  -0.23117446 -0.48040143 -0.883141   -0.13438835  0.
  1.          0.        ]",[0. 1. 0.]
1335,[[ 2.3913512  2.5494618 -3.7771683]],"[-0.30943449 -0.24708669 -0.08707708 -0.79187377 -0.14012394  0.
  1.          0.        ]",[0. 1. 0.]
